ID,Date,Bus Boardings,Rail Boardings,Total Number of Boardings
6196,10/18/17,"888,806","831,089","1,719,895"
6197,10/19/17,"876,423","848,003","1,724,426"
6198,10/20/17,"862,656","796,878","1,659,534"
6199,10/21/17,"520,339","481,334","1,001,673"
6200,10/22/17,"344,543","320,608","665,151"
6201,10/23/17,"802,893","750,619","1,553,512"
6202,10/24/17,"812,947","769,526","1,582,473"
6203,10/25/17,"876,000","794,572","1,670,572"
6204,10/26/17,"872,176","805,362","1,677,538"
6205,10/27/17,"833,348","769,792","1,603,140"
6206,10/28/17,"472,503","422,323","894,826"
6207,10/29/17,"355,321","320,982","676,303"
6208,10/30/17,"837,676","753,860","1,591,536"
6209,10/31/17,"843,988","758,455","1,602,443"
6210,11/1/17,"881,053","780,670","1,661,723"
6211,11/2/17,"864,434","794,788","1,659,222"
6212,11/3/17,"815,500","755,771","1,571,271"
6213,11/4/17,"450,968","393,884","844,852"
6214,11/5/17,"359,176","312,232","671,408"
6215,11/6/17,"866,671","772,803","1,639,474"
6216,11/7/17,"871,211","785,554","1,656,765"
6217,11/8/17,"875,619","796,870","1,672,489"
6218,11/9/17,"860,819","800,535","1,661,354"
6219,11/10/17,"741,017","721,331","1,462,348"
6220,11/11/17,"461,927","427,100","889,027"
6221,11/12/17,"341,066","303,087","644,153"
6222,11/13/17,"846,572","758,107","1,604,679"
6223,11/14/17,"862,352","781,533","1,643,885"
6224,11/15/17,"826,138","770,507","1,596,645"
6225,11/16/17,"831,869","773,696","1,605,565"
6226,11/17/17,"836,442","779,012","1,615,454"
6227,11/18/17,"426,814","429,256","856,070"
6228,11/19/17,"359,562","330,196","689,758"
6229,11/20/17,"840,370","747,181","1,587,551"
6230,11/21/17,"825,182","745,801","1,570,983"
6231,11/22/17,"677,643","620,904","1,298,547"
6232,11/23/17,"263,654","208,426","472,080"
6233,11/24/17,"503,847","415,069","918,916"
6234,11/25/17,"425,522","369,396","794,918"
6235,11/26/17,"336,930","290,753","627,683"
6236,11/27/17,"839,274","726,945","1,566,219"
6237,11/28/17,"847,910","753,208","1,601,118"
6238,11/29/17,"850,702","761,131","1,611,833"
6239,11/30/17,"850,783","772,769","1,623,552"
6240,12/1/17,"890,982","785,058","1,676,040"
6241,12/2/17,"511,676","461,699","973,375"
6242,12/3/17,"378,519","338,558","717,077"
6243,12/4/17,"855,387","739,950","1,595,337"
6244,12/5/17,"822,703","737,397","1,560,100"
6245,12/6/17,"829,498","742,215","1,571,713"
6246,12/7/17,"794,129","741,934","1,536,063"
6247,12/8/17,"805,911","739,840","1,545,751"
6248,12/9/17,"439,827","405,822","845,649"
6249,12/10/17,"336,156","295,505","631,661"
6250,12/11/17,"807,879","706,163","1,514,042"
6251,12/12/17,"783,312","709,949","1,493,261"
6252,12/13/17,"800,995","715,178","1,516,173"
6253,12/14/17,"790,977","722,667","1,513,644"
6254,12/15/17,"780,679","700,482","1,481,161"
6255,12/16/17,"484,468","419,897","904,365"
6256,12/17/17,"351,260","296,372","647,632"
6257,12/18/17,"784,151","675,289","1,459,440"
6258,12/19/17,"812,618","697,684","1,510,302"
6259,12/20/17,"798,144","683,898","1,482,042"
6260,12/21/17,"769,444","659,956","1,429,400"
6261,12/22/17,"727,262","586,190","1,313,452"
6262,12/23/17,"438,917","324,065","762,982"
